@relation Untagged_new_PUL-weka.filters.unsupervised.attribute.Remove-R1

@attribute character_count numeric
@attribute word_count numeric
@attribute sentence_count numeric
@attribute word_length numeric
@attribute sentence_length numeric
@attribute paragraph_count numeric
@attribute paragraph_length numeric
@attribute longest_word_length numeric
@attribute longest_sentence_length numeric
@attribute shortest_sentence_length numeric
@attribute long_sentence_rate numeric
@attribute short_sentence_rate numeric
@attribute section_count numeric
@attribute subsection_count numeric
@attribute heading_count numeric
@attribute section_nesting numeric
@attribute subsection_nesting numeric
@attribute lead_length numeric
@attribute lead_rate numeric
@attribute link_count numeric
@attribute image_count numeric
@attribute table_count numeric
@attribute reference_unique numeric
@attribute reference_count numeric
@attribute image_rate numeric
@attribute link_rate numeric
@attribute reference_section_rate numeric
@attribute reference_word_rate numeric
@attribute reference_ratio numeric
@attribute maxSubSectionLength numeric
@attribute minSubSectionLength numeric
@attribute totalWordsInSubsections numeric
@attribute AverageWordsInSubSections numeric
@attribute Sub_SubSectionCount numeric
@attribute maxSub_SubSectionLength numeric
@attribute minSub_SubSectionLength numeric
@attribute totalWordsInSub_Subsections numeric
@attribute AverageWordsInSub_SubSections numeric
@attribute Templates_count numeric
@attribute referenceSectionsCount numeric
@attribute mandatorySectionsCount numeric
@attribute related_page_count numeric
@attribute class_label {Refimprove,untagged}

@data
2699,487,28,5.54209,17.3929,19,1.47368,20,355,23,0.821429,0,2,2,4,1,0,484,99.383984,29,1,0,0,0,0.5,5.954825,0,0,0,30,29,59,29.5,0,0,0,0,0,3,0,1,1,Refimprove
3880,780,36,4.97436,21.6667,10,3.6,16,245,1,0.833333,0.166667,5,10,15,2,0,44,5.641026,167,0,1,7,7,0,21.410256,0.466667,0.008974,0.048585,171,6,618,61.8,0,0,0,0,0,9,1,1,0,Refimprove
18875,3600,159,5.24306,22.6415,127,1.25197,38,436,2,0.90566,0.025157,9,7,16,0.777778,0,135,3.75,327,4,0,21,21,0.444444,9.083333,1.3125,0.005833,0.03158,295,0,808,115.429,0,0,0,0,0,8,1,1,0,Refimprove
1025,200,10,5.125,20,8,1.25,12,210,36,1,0,6,2,8,0.333333,0,88,44,39,1,0,3,3,0.166667,19.5,0.375,0.015,0.081207,36,9,45,22.5,0,0,0,0,0,7,1,3,2,Refimprove
3930,684,32,5.74561,21.375,20,1.6,15,420,2,0.78125,0.125,6,0,6,0,0,87,12.719298,110,3,0,2,2,0.5,16.081871,0.333333,0.002924,0.01583,0,0,0,0,0,0,0,0,0,5,1,1,0,Refimprove
1580,245,14,6.44898,17.5,8,1.75,86,665,5,0.285714,0.571429,5,0,5,0,0,43,17.55102,35,0,0,0,0,0,14.285714,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,Refimprove
9498,1784,75,5.32399,23.7867,39,1.92308,26,323,1,0.96,0.013333,8,5,13,0.625,0,202,11.32287,37,3,0,1,1,0.375,2.073991,0.076923,0.000561,0.003035,80,30,298,59.6,0,0,0,0,0,5,1,3,2,Refimprove
5245,1022,49,5.13209,20.8571,33,1.48485,18,481,7,0.857143,0.040816,8,5,13,0.625,0,10,0.978474,38,0,0,0,0,0,3.7182,0,0,0,230,6,383,76.6,0,0,0,0,0,3,0,2,2,Refimprove
9450,1810,59,5.22099,30.678,32,1.84375,62,1010,0,0.898305,0.067797,11,2,13,0.181818,0,30,1.657459,60,0,0,2,2,0,3.314917,0.153846,0.001105,0.005982,159,67,226,113,0,0,0,0,0,8,1,2,1,Refimprove
4585,875,57,5.24,15.3509,21,2.71429,19,305,1,0.666667,0.263158,8,0,8,0,0,64,7.314286,47,2,0,1,1,0.25,5.371429,0.125,0.001143,0.006187,0,0,0,0,0,0,0,0,0,5,1,2,1,Refimprove
1043,198,11,5.26768,18,6,1.83333,15,202,1,0.636364,0.363636,4,1,5,0.25,0,133,67.171717,25,2,0,2,2,0.5,12.626263,0.4,0.010101,0.054685,47,47,47,47,0,0,0,0,0,6,1,3,2,Refimprove
4443,768,38,5.78516,20.2105,15,2.53333,127,413,1,0.868421,0.105263,4,0,4,0,0,55,7.161458,19,0,0,6,6,0,2.473958,1.5,0.007813,0.042295,0,0,0,0,0,0,0,0,0,3,0,1,1,Refimprove
2158,410,18,5.26341,22.7778,9,2,16,224,1,0.944444,0.055556,4,1,5,0.25,0,45,10.97561,19,2,0,1,1,0.5,4.634146,0.2,0.002439,0.013204,156,156,156,156,0,0,0,0,0,4,1,2,1,Refimprove
2655,497,24,5.34205,20.7083,18,1.33333,16,265,24,0.958333,0,2,0,2,0,0,27,5.432596,34,0,0,6,6,0,6.841046,3,0.012072,0.065358,0,0,0,0,0,0,0,0,0,6,1,1,0,Refimprove
3783,693,18,5.45887,38.5,8,2.25,18,372,81,1,0,5,0,5,0,0,131,18.903319,39,1,0,1,1,0.2,5.627706,0.2,0.001443,0.007812,0,0,0,0,0,0,0,0,0,4,1,2,1,Refimprove
1220,227,12,5.37445,18.9167,8,1.5,13,315,6,0.583333,0.166667,6,2,8,0.333333,0,101,44.493392,34,4,0,2,2,0.666667,14.977974,0.25,0.008811,0.047699,57,17,74,37,0,0,0,0,0,5,1,3,2,Refimprove
16140,3224,125,5.0062,25.792,67,1.86567,20,522,0,0.944,0.032,11,15,26,1.36364,0,120,3.722084,234,8,0,11,13,0.727273,7.258065,0.5,0.004032,0.02183,499,0,2395,159.667,0,0,0,0,0,25,1,3,2,Refimprove
2894,497,18,5.82294,27.6111,8,2.25,15,205,56,1,0,4,0,4,0,0,54,10.865191,8,0,0,6,6,0,1.609658,1.5,0.012072,0.065358,0,0,0,0,0,0,0,0,0,4,1,1,0,Refimprove
7768,1480,91,5.24865,16.2637,46,1.97826,17,346,1,0.703297,0.164835,11,0,11,0,0,72,4.864865,117,8,1,5,5,0.727273,7.905405,0.454545,0.003378,0.01829,0,0,0,0,0,0,0,0,0,1,1,2,1,Refimprove
10349,1951,46,5.30446,42.413,25,1.84,24,688,0,0.521739,0.413043,4,14,32,3.5,1,41,2.101486,138,0,0,3,3,0,7.073296,0.09375,0.001538,0.008325,562,0,1859,132.786,14,255,5,508,36.2857,6,1,2,1,Refimprove
5828,1092,68,5.337,16.0588,41,1.65854,18,505,14,0.852941,0.029412,8,3,11,0.375,0,47,4.304029,72,1,1,19,19,0.125,6.593407,1.727273,0.017399,0.094196,28,3,40,13.3333,0,0,0,0,0,6,1,1,0,Refimprove
8811,1769,60,4.98078,29.4833,19,3.15789,18,630,1,0.933333,0.066667,6,1,7,0.166667,0,349,19.72866,94,0,0,19,30,0,5.313737,4.285714,0.016959,0.091811,64,64,64,64,0,0,0,0,0,1,1,3,2,Refimprove
3971,817,32,4.86047,25.5312,11,2.90909,19,287,3,0.90625,0.0625,5,0,5,0,0,51,6.24235,54,2,0,1,1,0.4,6.609547,0.2,0.001224,0.006626,0,0,0,0,0,0,0,0,0,6,1,2,1,Refimprove
15506,2803,207,5.53193,13.5411,73,2.83562,110,499,0,0.483092,0.236715,7,2,9,0.285714,0,360,12.843382,35,0,0,5,5,0,1.248662,0.555556,0.001784,0.009657,656,581,1237,618.5,0,0,0,0,0,4,1,3,2,Refimprove
3353,614,41,5.46091,14.9756,12,3.41667,17,281,2,0.902439,0.097561,6,0,6,0,0,31,5.04886,14,2,0,6,6,0.333333,2.28013,1,0.009772,0.052904,0,0,0,0,0,0,0,0,0,5,1,2,1,Refimprove
1309,231,8,5.66667,28.875,3,2.66667,16,328,55,1,0,3,0,3,0,0,72,31.168831,27,2,0,1,2,0.666667,11.688312,0.666667,0.008658,0.046873,0,0,0,0,0,0,0,0,0,5,1,1,0,Refimprove
7980,1423,54,5.60787,26.3519,24,2.25,23,512,1,0.796296,0.12963,8,9,17,1.125,0,106,7.449051,54,1,0,4,6,0.125,3.7948,0.352941,0.004216,0.022827,199,4,501,55.6667,0,0,0,0,0,8,2,4,2,Refimprove
4067,771,140,5.27497,5.50714,46,3.04348,16,345,0,0.2,0.614286,4,3,7,0.75,0,23,2.983139,118,0,0,1,3,0,15.304799,0.428571,0.003891,0.021065,259,23,429,143,0,0,0,0,0,5,1,2,1,Refimprove
2751,554,19,4.9657,29.1579,9,2.11111,15,478,8,0.947368,0.052632,4,0,4,0,0,30,5.415162,33,2,0,6,6,0.5,5.956679,1.5,0.01083,0.058633,0,0,0,0,0,0,0,0,0,5,1,2,1,Refimprove
4425,868,33,5.09793,26.303,18,1.83333,18,278,28,0.969697,0,6,0,6,0,0,172,19.815668,66,3,0,2,2,0.5,7.603687,0.333333,0.002304,0.012474,0,0,0,0,0,0,0,0,0,6,0,0,0,Refimprove
12268,2491,89,4.92493,27.9888,26,3.42308,20,911,1,0.94382,0.022472,5,7,12,1.4,0,280,11.240466,171,0,0,15,17,0,6.864713,1.416667,0.006825,0.036947,906,57,2172,310.286,0,0,0,0,0,1,1,3,2,Refimprove
2254,424,16,5.31604,26.5,9,1.77778,16,226,16,0.9375,0,12,3,15,0.25,0,82,19.339623,40,2,2,14,15,0.166667,9.433962,1,0.035377,0.191526,34,0,57,19,0,0,0,0,0,11,1,3,2,Refimprove
1549,307,12,5.0456,25.5833,6,2,19,244,51,1,0,3,4,7,1.33333,0,48,15.635179,31,0,0,3,3,0,10.09772,0.428571,0.009772,0.052904,72,45,232,58,0,0,0,0,0,6,1,2,1,Refimprove
1007,191,10,5.27225,19.1,8,1.25,15,194,36,1,0,6,2,8,0.333333,0,79,41.361257,36,1,0,3,3,0.166667,18.848168,0.375,0.015707,0.085033,36,9,45,22.5,0,0,0,0,0,6,1,3,2,Refimprove
2836,532,26,5.33083,20.4615,12,2.16667,56,432,6,0.538462,0.307692,4,0,4,0,0,86,16.165414,25,1,0,0,0,0.25,4.699248,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,Refimprove
854,178,8,4.79775,22.25,3,2.66667,15,226,1,0.875,0.125,5,0,5,0,0,138,77.52809,76,0,1,1,2,0,42.696629,0.4,0.011236,0.060829,0,0,0,0,0,0,0,0,0,4,1,2,1,Refimprove
3076,590,19,5.21356,31.0526,7,2.71429,30,377,59,1,0,5,1,6,0.2,0,47,7.966102,43,0,0,1,1,0,7.288136,0.166667,0.001695,0.009176,93,93,93,93,0,0,0,0,0,3,1,3,2,Refimprove
1502,248,8,6.05645,31,6,1.33333,16,279,60,1,0,4,0,4,0,0,119,47.983871,59,2,0,1,1,0.5,23.790323,0.25,0.004032,0.02183,0,0,0,0,0,0,0,0,0,6,1,2,1,Refimprove
2972,568,27,5.23239,21.037,17,1.58824,55,328,3,0.62963,0.296296,10,2,12,0.2,0,59,10.387324,39,4,0,2,2,0.4,6.866197,0.166667,0.003521,0.019063,33,13,46,23,0,0,0,0,0,3,1,3,2,Refimprove
3348,631,32,5.30586,19.7188,9,3.55556,16,499,0,0.8125,0.15625,2,0,2,0,0,126,19.968304,17,0,0,0,0,0,2.694136,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,Refimprove
912,161,9,5.6646,17.8889,5,1.8,19,308,11,0.555556,0.111111,1,0,1,0,0,139,86.335404,10,0,0,0,0,0,6.21118,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,Refimprove
21163,3842,133,5.50833,28.8872,56,2.375,19,407,1,0.93985,0.037594,8,1,12,0.125,3,250,6.507028,94,0,1,5,5,0,2.446642,0.416667,0.001301,0.007046,0,0,0,0,3,1075,166,1531,510.333,5,1,2,1,Refimprove
896,157,7,5.70701,22.4286,2,3.5,15,188,38,1,0,5,8,13,1.6,0,80,50.955414,65,0,1,28,29,0,41.401274,2.230769,0.184713,1,60,0,61,7.625,0,0,0,0,0,9,0,0,0,Refimprove
5031,912,31,5.51645,29.4194,18,1.72222,24,311,22,0.967742,0,6,4,10,0.666667,0,33,3.618421,68,1,0,1,1,0.166667,7.45614,0.1,0.001096,0.005936,209,114,626,156.5,0,0,0,0,0,6,1,3,2,Refimprove
1354,264,9,5.12879,29.3333,4,2.25,16,366,43,1,0,3,0,3,0,0,260,98.484848,14,0,0,1,1,0,5.30303,0.333333,0.003788,0.020507,0,0,0,0,0,0,0,0,0,6,2,3,1,Refimprove
8078,1498,66,5.39252,22.697,33,2,17,333,1,0.848485,0.090909,8,4,12,0.5,0,252,16.82243,90,4,0,13,15,0.5,6.008011,1.25,0.010013,0.05421,707,17,827,206.75,0,0,0,0,0,9,1,3,2,Refimprove
2553,462,18,5.52597,25.6667,12,1.5,19,336,31,1,0,3,0,3,0,0,203,43.939394,19,0,0,4,4,0,4.112554,1.333333,0.008658,0.046873,0,0,0,0,0,0,0,0,0,5,2,2,0,Refimprove
2437,455,22,5.35604,20.6818,7,3.14286,27,349,1,0.545455,0.318182,4,2,6,0.5,0,34,7.472527,24,0,0,1,1,0,5.274725,0.166667,0.002198,0.011898,49,49,49,24.5,0,0,0,0,0,3,2,3,1,Refimprove
2930,563,26,5.20426,21.6538,15,1.73333,14,358,3,0.653846,0.192308,8,2,10,0.25,0,59,10.479574,63,2,0,1,1,0.25,11.190053,0.1,0.001776,0.009616,244,11,255,127.5,0,0,0,0,0,6,1,3,2,Refimprove
1193,226,7,5.27876,32.2857,6,1.16667,16,280,63,1,0,3,0,3,0,0,186,82.300885,24,7,0,4,7,2.333333,10.619469,2.333333,0.030973,0.167684,0,0,0,0,0,0,0,0,0,5,1,2,1,Refimprove
4201,844,29,4.97749,29.1034,12,2.41667,15,369,43,1,0,8,0,8,0,0,61,7.227488,48,2,0,4,4,0.25,5.687204,0.5,0.004739,0.025658,0,0,0,0,0,0,0,0,0,7,1,3,2,Refimprove
5519,1008,32,5.4752,31.5,16,2,17,592,1,0.9375,0.0625,7,1,8,0.142857,0,104,10.31746,68,0,0,10,10,0,6.746032,1.25,0.009921,0.053708,70,70,70,70,0,0,0,0,0,7,1,3,2,Refimprove
4650,875,40,5.31429,21.875,19,2.10526,15,320,1,0.8,0.075,7,1,8,0.142857,0,80,9.142857,56,0,0,3,8,0,6.4,1,0.009143,0.049498,22,22,22,22,0,0,0,0,0,7,1,2,1,Refimprove
4667,866,29,5.38915,29.8621,12,2.41667,15,376,0,0.931034,0.068965,3,1,8,0.333333,4,232,26.789838,24,0,0,1,1,0,2.771363,0.125,0.001155,0.006251,154,154,154,154,4,168,58,521,130.25,2,1,2,1,Refimprove
847,180,8,4.70556,22.5,5,1.6,13,109,76,1,0,4,3,9,0.75,0.666667,145,80.555556,76,0,1,1,1,0,42.222222,0.111111,0.005556,0.030077,2,0,4,1.33333,2,0,0,0,0,7,1,2,1,Refimprove
1917,401,14,4.78055,28.6429,7,2,18,237,24,0.928571,0,5,0,5,0,0,43,10.723192,21,0,0,1,1,0,5.236908,0.2,0.002494,0.013501,0,0,0,0,0,0,0,0,0,6,1,1,0,Refimprove
2277,368,39,6.1875,9.4359,16,2.4375,16,166,6,0.717949,0.230769,4,3,7,0.75,0,67,18.206522,15,1,0,6,6,0.25,4.076087,0.857143,0.016304,0.088268,67,21,148,49.3333,0,0,0,0,0,7,1,2,1,Refimprove
1148,199,6,5.76884,33.1667,2,3,15,177,10,0.833333,0.166667,8,4,12,0.5,0,95,47.738693,162,5,1,3,3,0.625,81.407035,0.25,0.015075,0.081615,39,0,73,18.25,0,0,0,0,0,13,1,2,1,Refimprove
856,179,10,4.78212,17.9,4,2.5,51,172,5,0.8,0.2,1,0,1,0,0,0,0,25,1,0,0,0,1,13.96648,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,Refimprove
7254,1316,30,5.51216,43.8667,10,3,20,610,76,1,0,4,0,4,0,0,326,24.772036,21,0,0,0,0,0,1.595745,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,Refimprove
9469,1732,65,5.46709,26.6462,28,2.32143,41,432,4,0.953846,0.030769,7,9,16,1.28571,0,97,5.600462,58,2,0,3,3,0.285714,3.34873,0.1875,0.001732,0.009377,356,41,1138,126.444,0,0,0,0,0,7,1,3,2,Refimprove
7907,1443,84,5.47956,17.1786,73,1.15068,20,246,15,0.333333,0.011905,11,24,35,2.18182,0,79,5.474705,49,3,0,0,0,0.272727,3.395703,0,0,0,249,12,935,38.9583,0,0,0,0,0,9,0,0,0,Refimprove
15976,3038,150,5.25872,20.2533,47,3.19149,19,438,1,0.906667,0.073333,9,12,25,1.33333,0.333333,56,1.843318,121,0,0,33,33,0,3.982883,1.32,0.010862,0.058807,300,70,1639,136.583,4,107,49,295,73.75,4,1,2,1,Refimprove
2090,383,10,5.45692,38.3,5,2,14,348,35,1,0,6,1,7,0.166667,0,143,37.336815,18,0,1,4,5,0,4.699739,0.714286,0.013055,0.070676,117,117,117,117,0,0,0,0,0,4,1,3,2,Refimprove
12139,2256,107,5.38076,21.0841,33,3.24242,102,373,3,0.859813,0.11215,12,0,12,0,0,175,7.757092,114,0,0,0,0,0,5.053191,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,Refimprove
5789,1011,29,5.72601,34.8621,18,1.61111,18,1167,55,1,0,14,0,14,0,0,174,17.210682,174,1,0,2,2,0.071429,17.210682,0.142857,0.001978,0.01071,0,0,0,0,0,0,0,0,0,5,1,3,2,Refimprove
1776,334,11,5.31737,30.3636,3,3.66667,14,216,85,1,0,6,0,6,0,0,17,5.08982,72,1,0,5,5,0.166667,21.556886,0.833333,0.01497,0.081045,0,0,0,0,0,0,0,0,0,17,2,3,1,Refimprove
4567,910,43,5.01868,21.1628,14,3.07143,17,350,43,1,0,5,0,5,0,0,112,12.307692,70,0,0,1,1,0,7.692308,0.2,0.001099,0.005949,0,0,0,0,0,0,0,0,0,6,1,1,0,Refimprove
13337,2791,150,4.77857,18.6067,58,2.58621,17,298,9,0.833333,0.04,11,0,11,0,0,168,6.019348,133,0,0,4,4,0,4.765317,0.363636,0.001433,0.007759,0,0,0,0,0,0,0,0,0,8,1,2,1,Refimprove
1748,357,17,4.89636,21,8,2.125,16,356,7,0.764706,0.117647,4,0,4,0,0,53,14.845938,27,0,0,2,2,0,7.563025,0.5,0.005602,0.030329,0,0,0,0,0,0,0,0,0,7,1,2,1,Refimprove
3864,723,26,5.3444,27.8077,10,2.6,17,320,17,0.961538,0,6,1,7,0.166667,0,46,6.362379,77,2,1,16,16,0.333333,10.650069,2.285714,0.02213,0.119807,16,16,16,16,0,0,0,0,0,11,1,2,1,Refimprove
2472,493,19,5.0142,25.9474,10,1.9,16,263,59,1,0,4,3,7,0.75,0,146,29.614604,53,3,0,4,4,0.75,10.750507,0.571429,0.008114,0.043925,86,30,156,52,0,0,0,0,0,6,1,2,1,Refimprove
5186,1015,102,5.10936,9.95098,34,3,15,344,0,0.333333,0.54902,5,0,5,0,0,37,3.64532,112,2,0,0,0,0.4,11.034483,0,0,0,0,0,0,0,0,0,0,0,0,8,1,2,1,Refimprove
8767,1747,68,5.01832,25.6912,30,2.26667,16,369,38,1,0,11,8,19,0.727273,0,36,2.060675,73,1,0,5,5,0.090909,4.178592,0.263158,0.002862,0.015495,159,0,440,55,0,0,0,0,0,7,0,2,2,Refimprove
3787,749,40,5.05607,18.725,23,1.73913,16,269,8,0.95,0.025,6,0,6,0,0,38,5.073431,83,0,0,12,12,0,11.081442,2,0.016021,0.086736,0,0,0,0,0,0,0,0,0,7,2,3,1,Refimprove
3080,636,27,4.84277,23.5556,11,2.45455,16,250,1,0.851852,0.111111,6,0,6,0,0,321,50.471698,29,0,0,2,2,0,4.559748,0.333333,0.003145,0.017025,0,0,0,0,0,0,0,0,0,5,1,3,2,Refimprove
3368,689,37,4.88824,18.6216,20,1.85,16,248,13,0.810811,0.027027,5,0,5,0,0,58,8.417997,59,0,0,1,1,0,8.563135,0.2,0.001451,0.007857,0,0,0,0,0,0,0,0,0,7,1,2,1,Refimprove
2860,587,24,4.87223,24.4583,13,1.84615,13,334,14,0.916667,0.041667,6,0,6,0,0,33,5.621806,103,10,1,4,4,1.666667,17.546848,0.666667,0.006814,0.036891,0,0,0,0,0,0,0,0,0,14,0,2,2,Refimprove
2282,456,36,5.00439,12.6667,8,4.5,27,368,2,0.555556,0.361111,5,0,5,0,0,60,13.157895,8,0,0,1,1,0,1.754386,0.2,0.002193,0.011872,0,0,0,0,0,0,0,0,0,4,0,2,2,Refimprove
7898,1404,148,5.62536,9.48649,141,1.04965,23,182,2,0.783784,0.033784,5,5,10,1,0,0,0,188,0,0,13,14,0,13.390313,1.4,0.009972,0.053984,763,38,1149,229.8,0,0,0,0,0,9,1,2,1,Refimprove
17024,3314,123,5.13699,26.9431,30,4.1,18,416,0,0.934959,0.04065,8,7,15,0.875,0,130,3.922752,72,5,0,9,9,0.625,2.172601,0.6,0.002716,0.014703,445,228,2507,358.143,0,0,0,0,0,11,2,3,1,Refimprove
1292,218,28,5.92661,7.78571,10,2.8,99,244,2,0.464286,0.464286,4,0,4,0,0,41,18.807339,9,0,0,2,2,0,4.12844,0.5,0.009174,0.049668,0,0,0,0,0,0,0,0,0,3,2,3,1,Refimprove
6591,1156,54,5.70156,21.4074,20,2.7,114,459,0,0.814815,0.148148,6,5,11,0.833333,0,929,80.363322,81,0,0,2,3,0,7.00692,0.272727,0.002595,0.01405,178,46,531,106.2,0,0,0,0,0,11,1,2,1,Refimprove
1207,204,28,5.91667,7.28571,27,1.03704,15,223,18,0.714286,0,2,1,3,0.5,0,73,35.784314,51,0,0,2,2,0,25,0.666667,0.009804,0.053076,31,31,31,31,0,0,0,0,0,4,1,1,0,Refimprove
6797,1256,77,5.41162,16.3117,18,4.27778,82,326,3,0.805195,0.103896,6,0,6,0,0,73,5.812102,41,0,0,6,6,0,3.264331,1,0.004777,0.025862,0,0,0,0,0,0,0,0,0,1,2,4,2,Refimprove
19313,3798,142,5.08504,26.7465,57,2.49123,19,523,0,0.887324,0.084507,10,7,17,0.7,0,427,11.242759,139,3,0,2,2,0.3,3.659821,0.117647,0.000527,0.002851,359,83,1475,210.714,0,0,0,0,0,3,1,1,0,Refimprove
3141,542,27,5.7952,20.0741,15,1.8,68,363,3,0.740741,0.074074,2,0,2,0,0,530,97.785978,33,0,0,2,2,0,6.088561,1,0.00369,0.019977,0,0,0,0,0,0,0,0,0,6,1,2,1,Refimprove
4495,912,35,4.92873,26.0571,11,3.18182,16,422,47,1,0,7,0,7,0,0,126,13.815789,80,5,0,4,4,0.714286,8.77193,0.571429,0.004386,0.023745,0,0,0,0,0,0,0,0,0,7,1,3,2,Refimprove
4657,839,36,5.55066,23.3056,13,2.76923,20,447,7,0.888889,0.027778,6,1,7,0.166667,0,134,15.971395,60,2,0,13,13,0.333333,7.151371,1.857143,0.015495,0.083885,243,243,243,243,0,0,0,0,0,9,1,3,2,Refimprove
3837,738,28,5.19919,26.3571,10,2.8,18,416,44,1,0,6,0,6,0,0,47,6.368564,98,1,0,0,0,0.166667,13.279133,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,Refimprove
3558,689,36,5.16401,19.1389,11,3.27273,16,260,0,0.944444,0.055556,4,0,4,0,0,99,14.36865,56,1,0,6,6,0.25,8.127721,1.5,0.008708,0.047145,0,0,0,0,0,0,0,0,0,1,1,2,1,Refimprove
4937,892,34,5.53475,26.2353,19,1.78947,19,463,9,0.941176,0.058824,4,4,8,1,0,92,10.313901,103,3,0,11,11,0.75,11.547085,1.375,0.012332,0.066762,259,0,498,124.5,0,0,0,0,0,1,0,1,1,Refimprove
10813,2131,66,5.07414,32.2879,25,2.64,20,435,27,0.984848,0,4,9,13,2.25,0,159,7.461286,195,5,0,1,1,1.25,9.150634,0.076923,0.000469,0.00254,314,56,1645,182.778,0,0,0,0,0,7,1,2,1,Refimprove
